time,open,high,low,close,Volume
1739377500,6024.18,6024.5,6019.64,6023.95,25166300
1739377800,6023.94,6028.13,6023.91,6027.31,23552830
1739378100,6027.27,6032.51,6026.57,6031.55,23023900
1739378400,6031.58,6039.06,6031.38,6038.9,21721560
1739378700,6038.86,6039.49,6036.14,6038.85,19222290
1739379000,6038.81,6045.2,6038.59,6044.47,21674370
1739379300,6044.48,6052.52,6044.38,6051.78,20699600
1739379600,6051.89,6054.83,6050.39,6051.34,27427380
1739379900,6051.32,6053.21,6048.96,6051.13,19691430
1739380200,6051.28,6056.55,6049.18,6055.02,23894180
1739380500,6055.01,6057.34,6054.03,6054.54,23115000
1739380800,6054.46,6057.43,6053.81,6055.86,22062520
1739381100,6055.86,6057.05,6054.5,6056.24,18842130
1739381400,6056.14,6056.53,6052.43,6054.98,21183570
1739381700,6054.95,6055.68,6052.01,6052.79,18654260
1739382000,6052.76,6052.76,6048.96,6049.96,19929550
1739382300,6050,6058.6,6049.89,6056.25,21911010
1739382600,6056.24,6060.08,6055.55,6059.92,19587860
1739382900,6059.99,6062.76,6059.39,6061.9,19926790
1739383200,6061.83,6063,6057.53,6057.69,19207890
1739383500,6057.78,6059.2,6055.13,6056.41,17564790
1739383800,6056.42,6057.9,6055.31,6057.9,16399940
1739384100,6057.96,6058.17,6054.46,6054.7,17404950
1739384400,6054.74,6055.54,6052.71,6054.56,18288260
1739384700,6054.47,6055.58,6050.1,6053.1,22815310
1739385000,6053.25,6054.95,6052.46,6054.15,18453330
1739385300,6054.19,6054.83,6052.89,6054.17,16850220
1739385600,6054.18,6054.25,6047.22,6047.29,19306440
1739385900,6047.34,6050.41,6047.16,6048.96,18187240
1739386200,6048.92,6052.37,6048.64,6050.93,18175540
1739386500,6050.86,6052,6049.06,6049.46,18617350
1739386800,6049.42,6049.6,6045.88,6045.98,21201490
1739387100,6046.08,6047.63,6043.22,6047.15,22108360
1739387400,6047.11,6047.11,6043.4,6044.43,19365930
1739387700,6044.46,6045.13,6043.65,6044.74,21670200
1739388000,6044.67,6049.17,6044.16,6048.03,23611390
1739388300,6048.04,6049.92,6044.96,6048.23,20863990
1739388600,6048.21,6051.77,6047.98,6051.54,20861210
1739388900,6051.63,6053.25,6051.09,6052.35,19605150
1739389200,6052.32,6053.38,6052.11,6053.09,20376350
1739389500,6053.16,6059.32,6052.6,6059.08,23527260
1739389800,6059.12,6059.12,6055.48,6057.71,22298130
1739390100,6057.78,6058.5,6054.85,6055.92,22156300
1739390400,6055.99,6057.52,6054.75,6055.89,21252390
